Can you play a song?, song
I want to listen to a song?, song
Could you play a song Pepper?, song
Can you play a track?, song
I want to listen to a track?, song
Could you play a trackPepper?, song
I would like to listen to a song, song
I would like to listen to a song please, song
I would like to listen to music, song
Can you play music for me?, song
I want to listen to music?, song
Could you play some music for me Pepper?, song
I would like to listen to music, song
I would like to listen to a music, song
I would like to listen to Lush Life, song
I would like to listen to Mirrors, song
Can we listen to Lush life by Zara Larsson, song
I want to listen to a song by Zara Larsson, song
I want to listen to a song by Zara Larsson, song
I would like to listen to Mirrors by Justin Timberlake, song
I would like to listen to Uptown funk by Bruno Mars, song
Yes I want to choose the song topics, songs
Can you play a quiz?, quiz
Can we play a quiz?, quiz
Can we play a music quiz?, quiz
Can we do a music quiz?, quiz
Could we play a quiz?, quiz
I want to play a quiz with you Pepper, quiz
I want to do a quiz Pepper, quiz
I would like to play a quiz, quiz
I would like to play a music quiz, quiz
Start the music quiz, quiz
I would like to do the general quiz, quiz
Pepper, lets do the quiz, quiz
Yes sure I want to do the music quiz, quiz
I think I would like to the quiz if its possible, quiz
I would like to choose the music quiz, quiz
I would like to choose the quiz, quiz
I would like to choose to do the quiz, quiz
I would like to ask you something, questions
I would like to ask you some questions, questions
I was wondering, questions
can you answer this for me, questions
Can I ask you some questions, questions
I heard you can answear questions, questions
I have a question for you Pepper, questions
I have a music question for you Pepper, questions
I have a question about Justin Timberlake, questions
Can I ask you some questions about Justin Timberlake, questions
i want to learn more, story
please can you tell me about justin, story
i would like to hear from wikipedia, story
tell me a story, story
pepper tell me a story, story
please tell me a story, story
i am curios about, story
i am curios about justin, story
i am curios about your favorite artist, story
tell me a story about justin timberlake, story
tell me a story about the artist, story
pepper tell me a story about the artist, story
tell me a story about your favourite artist, story
i want to learn more about justin, story